v_tilde(cm^-1),abs
2813.65136,0.25334
2813.39648,0.25365
2813.14160,0.25362
2812.88672,0.25354
2812.63183,0.25366
2812.37695,0.25362
2812.12207,0.25345
2811.86718,0.25349
2811.61230,0.25347
2811.35742,0.25323
2811.10254,0.25324
2810.84765,0.25354
2810.59277,0.25360
2810.33789,0.25350
2810.08300,0.25357
2809.82812,0.25350
2809.57324,0.25320
2809.31836,0.25316
2809.06347,0.25334
2808.80859,0.25322
2808.55371,0.25314
2808.29882,0.25352
2808.04394,0.25380
2807.78906,0.25360
2807.53418,0.25346
2807.27929,0.25354
2807.02441,0.25337
2806.76953,0.25318
2806.51464,0.25331
2806.25976,0.25334
2806.00488,0.25311
2805.75000,0.25313
2805.49511,0.25328
2805.24023,0.25311
2804.98535,0.25305
2804.73047,0.25332
2804.47558,0.25322
2804.22070,0.25279
2803.96582,0.25290
2803.71093,0.25322
2803.45605,0.25303
2803.20117,0.25299
2802.94629,0.25357
2802.69140,0.25368
2802.43652,0.25324
2802.18164,0.25343
2801.92675,0.25387
2801.67187,0.25349
2801.41699,0.25328
2801.16211,0.25405
2800.90722,0.25434
2800.65234,0.25397
2800.39746,0.25461
2800.14257,0.25551
2799.88769,0.25509
2799.63281,0.25542
2799.37793,0.25789
2799.12304,0.26033
2798.86816,0.26690
2798.61328,0.28920
2798.35840,0.32609
2798.10351,0.35194
2797.84863,0.34579
2797.59375,0.32201
2797.33886,0.30248
2797.08398,0.29060
2796.82910,0.28459
2796.57422,0.28768
2796.31933,0.29687
2796.06445,0.29968
2795.80957,0.29125
2795.55468,0.28010
2795.29980,0.27264
2795.04492,0.26733
2794.79004,0.26289
2794.53515,0.26032
2794.28027,0.25885
2794.02539,0.25704
2793.77050,0.25566
2793.51562,0.25531
2793.26074,0.25490
2793.00586,0.25416
2792.75097,0.25389
2792.49609,0.25382
2792.24121,0.25335
2791.98632,0.25313
2791.73144,0.25351
2791.47656,0.25368
2791.22168,0.25347
2790.96679,0.25357
2790.71191,0.25380
2790.45703,0.25355
2790.20215,0.25326
2789.94726,0.25341
2789.69238,0.25357
2789.43750,0.25343
2789.18261,0.25351
2788.92773,0.25386
2788.67285,0.25395
2788.41797,0.25378
2788.16308,0.25370
2787.90820,0.25359
2787.65332,0.25334
2787.39843,0.25336
2787.14355,0.25373
2786.88867,0.25395
2786.63379,0.25385
2786.37890,0.25377
2786.12402,0.25374
2785.86914,0.25364
2785.61425,0.25372
2785.35937,0.25408
2785.10449,0.25432
2784.84961,0.25427
2784.59472,0.25445
2784.33984,0.25492
2784.08496,0.25513
2783.83007,0.25492
2783.57519,0.25477
2783.32031,0.25473
2783.06543,0.25461
2782.81054,0.25477
2782.55566,0.25551
2782.30078,0.25622
2782.04590,0.25639
2781.79101,0.25629
2781.53613,0.25605
2781.28125,0.25542
2781.02636,0.25479
2780.77148,0.25464
2780.51660,0.25454
2780.26172,0.25415
2780.00683,0.25406
2779.75195,0.25436
2779.49707,0.25435
2779.24218,0.25435
2778.98730,0.25522
2778.73242,0.25635
2778.47754,0.25680
2778.22265,0.25703
2777.96777,0.25715
2777.71289,0.25634
2777.45800,0.25541
2777.20312,0.25576
2776.94824,0.25604
2776.69336,0.25510
2776.43847,0.25524
2776.18359,0.25722
2775.92871,0.25866
2775.67382,0.26380
2775.41894,0.28316
2775.16406,0.31441
2774.90918,0.33444
2774.65429,0.32741
2774.39941,0.30747
2774.14453,0.29226
2773.88965,0.28324
2773.63476,0.27898
2773.37988,0.28252
2773.12500,0.29002
2772.87011,0.29033
2772.61523,0.28160
2772.36035,0.27268
2772.10547,0.26760
2771.85058,0.26365
2771.59570,0.26029
2771.34082,0.25890
2771.08593,0.25797
2770.83105,0.25622
2770.57617,0.25509
2770.32129,0.25492
2770.06640,0.25426
2769.81152,0.25354
2769.55664,0.25387
2769.30175,0.25413
2769.04687,0.25350
2768.79199,0.25340
2768.53711,0.25411
2768.28222,0.25418
2768.02734,0.25368
2767.77246,0.25376
2767.51757,0.25386
2767.26269,0.25330
2767.00781,0.25309
2766.75293,0.25356
2766.49804,0.25358
2766.24316,0.25320
2765.98828,0.25340
2765.73340,0.25371
2765.47851,0.25342
2765.22363,0.25334
2764.96875,0.25380
2764.71386,0.25387
2764.45898,0.25358
2764.20410,0.25376
2763.94922,0.25405
2763.69433,0.25393
2763.43945,0.25408
2763.18457,0.25468
2762.92968,0.25475
2762.67480,0.25433
2762.41992,0.25433
2762.16504,0.25441
2761.91015,0.25396
2761.65527,0.25366
2761.40039,0.25385
2761.14550,0.25376
2760.89062,0.25344
2760.63574,0.25365
2760.38086,0.25396
2760.12597,0.25378
2759.87109,0.25381
2759.61621,0.25423
2759.36132,0.25413
2759.10644,0.25365
2758.85156,0.25377
2758.59668,0.25403
2758.34179,0.25363
2758.08691,0.25336
2757.83203,0.25364
2757.57715,0.25354
2757.32226,0.25312
2757.06738,0.25335
2756.81250,0.25372
2756.55761,0.25343
2756.30273,0.25339
2756.04785,0.25402
2755.79297,0.25405
2755.53808,0.25351
2755.28320,0.25370
2755.02832,0.25409
2754.77343,0.25362
2754.51855,0.25349
2754.26367,0.25443
2754.00879,0.25482
2753.75390,0.25447
2753.49902,0.25499
2753.24414,0.25557
2752.98925,0.25476
2752.73437,0.25463
2752.47949,0.25625
2752.22461,0.25707
2751.96972,0.25975
2751.71484,0.27307
2751.45996,0.29579
2751.20507,0.31044
2750.95019,0.30540
2750.69531,0.29091
2750.44043,0.27976
